Q7aOWIFgIZQ	The Raconteurs	Steady, As She Goes	0	2006	Garage rock,power pop
N4d7Wp9kKjA	David Bowie	Let's Dance	0	1983	Post-disco,dance-rock,dance-pop
SbyAZQ45uww	Nancy Sinatra	These Boots Are Made for Walkin'	0	1966	Pop rock,rock n' roll
T5Xl0Qry-hA	Nancy Sinatra	Bang Bang (My Baby Shot Me Down)	0	1966	Folk rock
Xz-UvQYAmbg	Marvin Gaye,Tammi Terrell	Ain't no Mountain High Enough	0	1967	Soul,rhythm and blues,pop
COiIC3A0ROM	Al Green	Let's Stay Together	0	1971	Soul,R&B
XLgYAHHkPFs	John Lennon	Imagine	20	1971	Soft,rock pop
eM8Ss28zjcE	Queen	I Want To Break Free	0	1984	Pop rock,synthpop
xwtdhWltSIg	R.E.M.	Losing My Religion	20	1991	Alternative rock,folk rock,jangle pop
9muzyOd4Lh8	The Moody Blues	Nights In White Satin	0	1967	Symphonic rock,proto-prog,pop
pT68FS3YbQ4	The Strokes	You Only Live Once	0	2006	Garage rock,post-punk revival
2L0xtly1jKo	Korn	Word Up	0	1986	Funk, R&B
2s3iGpDqQpQ	Korn	Falling Away from Me	0	1999	Nu metal
PinBVYKQGeM	Billy Idol	Hot In The City	0	1982	New Wave
Q8Tiz6INF7I	Ray Charles	Hit the road jack	0	1961	R&B
STKkWj2WpWM	Aretha Franklin	I Say A Little Prayer	0	1967	Soul, pop
yLzqMJQzzcA	Boney M	Ma Baker	0	1976	Disco
QtxlCsVKkvY	Boney M	Daddy cool	0	1976	Disco
Lp2qcCrdBLA	Modern Talking	Brother Louie	0	1986	Eurodisco, synthpop
WGU_4-5RaxU	Blondie	Heart Of Glass	10	1979	Disco, new wave
N-aK6JnyFmk	Mamas & The Papas	California Dreamin'	0	1965	Sunshine pop, Folk Rock
DohRa9lsx0Q	Stealers Wheel	Stuck In The Middle With You	0	1973	Folk rock, country rock, soft rock
0sB3Fjw3Uvc	The Animals	The House of the Rising Sun	0	1964	Folk rock
Mb3iPP-tHdA	Procol Harum	A Whiter Shade Of Pale	0	1967	Psychedelic rock, progressive rock, baroque rock
5UWRypqz5-o	Steppenwolf	Born to be wild	0	1968	Hard rock, proto-metal
djV11Xbc914	a-ha	Take On Me	0	1984	New wave, synthpop
_JoZS6LgqYI	Bee Gees	You Should Be Dancing	0	1976	Disco
god7hAPv8f0	Earth, Wind & Fire	Boogie Wonderland	0	1979	Disco
5BE1KRj5iiM	Nirvana	Sappy	0	1993	Grunge
vabnZ9-ex7o	Nirvana	Come As You Are	0	1992	Grunge, alternative rock
pkcJEvMcnEg	Nirvana	Lithium	0	1992	Grunge
V5UOC0C0x8Q	Stone Temple Pilots	Plush	0	1992	Grunge
yjJL9DGU7Gg	Stone Temple Pilots	Interstate Love Song	0	1994	Grunge, hard rock, Southern rock
Va0vs1fhhNI	Fools Garden	Lemon Tree	0	1995	Britpop, baroque pop
6Ejga4kJUts	The Cranberries	Zombie	0	1994	Alternative rock, grunge
zRgWvvkSvfk	Sweet	Love Is Like Oxygen	0	1978	Glam rock, power pop
XcATvu5f9vE	Robert Palmer	Addicted To Love	0	1986	Pop rock, hard rock, dance-rock
oOg5VxrRTi0	Duran Duran	Hungry Like The Wolf	0	1982	New wave, synthpop
ST86JM1RPl0	Tears For Fears	Everybody Wants To Rule The World	0	1985	New wave
p3j2NYZ8FKs	Pet Shop Boys	West End Girls	0	1984	Synthpop
JmcA9LIIXWw	Culture Club	Karma Chameleon	0	1983	Pop
qA78eLqHLkM	Big Brother And The Holding Company	Piece Of My Heart	0	1968	Psychedelic rock, blues rock
TJAfLE39ZZ8	Amy Winehouse	Back To Black	0	2007	Soul
KUmZp8pR1uc	Amy Winehouse	Rehab	0	2006	Soul, rhythm and blues
Q3Kvu6Kgp88	Edith Piaf	Non, Je ne regrette rien	0	1960	Cabaret
n92ATE3IgIs	Glenn Miller	Moonlight Serenade	0	1939	Jazz
FYH8DsU2WCk	New Order	Blue Monday	125	1983	Synthpop, alternative dance, hi-NRG
PGNiXGX2nLU	Dead Or Alive	You Spin Me Round (Like a Record)	0	1984	Hi-NRG, synthpop, new wave
bJ9r8LMU9bQ	The Clash	Rock the Casbah	0	1982	New wave, dance-punk
hLhN__oEHaw	Iggy Pop	The Passenger	0	1977	Rock
6PDmZnG8KsM	Desireless	Voyage Voyage	0	1986	Synthpop
Iwuy4hHO3YQ	Buggles	Video killed the radio star	0	1979	New wave, synthpop
KddVaiE-J3Q	Kylie Minogue	The Loco-Motion	0	1987	Pop
eKpVQm41f8Y	Little Eva	The Loco-Motion	0	1962	Pop, rhythm and blues
XmSdTa9kaiQ	U2	With Or Without You	10	1987	Rock
MbXWrmQW-OE	The Police	Message In A Bottle	0	1979	New wave,post-punk
1s8nRL2bPCU	The Statler Brothers	Flowers On The Wall	0	1965	Country
eOUtsybozjg	Bon Jovi	Bad Medicine	40	1988	Hard rock, glam metal
Xu3FTEmN-eg	The Chemical Brothers	Galvanize	0	2004	Big beat, alternative hip hop, electronica
xat1GVnl8-k	Bloodhound Gang	The Bad Touch	0	1999	Eurodance, dance-pop
u3ltZmI5LQw	Corona	Rhythm of the Night	0	1993	Eurodance
ZbjyuDYtAtk	Ram Jam	Black Betty	30	1977	Hard rock, blues rock
sYrK464nIeY	Lead Belly	Black Betty	0	1939	blues, Work song, marching song, military cadence
a6yCEsDsGx4	Lead Belly	Where Did You Sleep Last Night?	0	1944	blues
fPmruHc4S9Q	Scott Joplin	The Entertainer	0	1902	ragtime
qDQpZT3GhDg	Duke Ellington	It Don't Mean a Thing (If It Ain't Got That Swing)	5	1931	jazz
ZJE-onnw2gM	Glenn Miller	In The Mood	10	1939	big band
u6d8eKvegLI	Rolling Stones	Paint It Black	20	1966	Psychedelic rock, raga rock
YR5ApYxkU-U	Pink Floyd	Another Brick In The Wall	25	1979	Progressive rock
8SbUC-UaAxE	Guns N' Roses	November Rain	20	1992	power ballad
9Q7Vr3yQYWQ	Led Zeppelin	Stairway to Heaven	0	1971	Hard rock, folk rock, progressive rock
v2AC41dglnM	AC/DC	Thunderstruck	0	1990	Hard rock
5iC0YXspJRM	Pixies	Where Is My Mind	15	1988	Alternative rock, indie rock
1lyu1KKwC74	The Verve	Bitter Sweet Symphony	0	1997	Britpop, baroque pop
XFkzRNyygfk	Radiohead	Creep	0	1992	Alternative rock, grunge
IBH97ma9YiI	Radiohead	Karma Police	10	1997	Art rock
SSbBvKaM6sk	Blur	Song 2	0	1996	Alternative rock, grunge, punk rock
CdqoNKCCt7A	Simple Minds	Don't You (Forget About Me)	0	1984	Pop
ejorQVy3m8E	Midnight Oil	Beds Are Burning	58	1987	Pop
FTQbiNvZqaY	Toto	Africa	0	1982	Soft rock
KwIe_sjKeAY	Madness	Our House	40	1982	Pop, new wave
9jK-NcRmVcw	Europe	The Final Countdown	40	1986	Glam metal, hard rock
9_y6nFjoVp4	The Supremes	Baby Love	0	1964	Pop, R&B
hwZNL7QVJjE	Ben E. King	Stand by Me 	0	1960	Soul, R&B
eW2qlKa6oHw	Lenny Kravitz	Again	0	2000	Hard rock, Pop rock
qmVn6b7DdpA	Blind Melon	No Rain	32	1992	Alternative rock
NI6aOFI7hms	The Cardigans	Lovefool	0	1996	Pop Rock
deB_u-to-IE	The Doors	Light My Fire	0	1967	Psychedelic rock, acid rock
awi14wDTxNw	The Doors	People Are Strange	0	1967	Psychedelic rock
wmin5WkOuPw	The Prodigy	Firestarter	0	1996	Breakbeat
r2S1I_ien6A	Louis Prima,Benny Goodman	Sing, Sing, Sing (With a Swing)	0	1936	Jazz, Swing, Big band
cHcunREYzNY	Vera Lynn	We'll Meet Again	0	1939	classic pop, traditional pop
_7QjMZ4ckZc	Tommy Dorsey	Opus No. 1	0	1944	swing, jazz, big band
71IIZWKcepQ	George Michael	Careless Whisper	0	1984	Blue-eyed soul, smooth jazz, sophisti-pop
KkVpefF7fAY	Lalo Schifrin	Enter The Dragon	0	1973	Film score
fjgjU9C8UUc	Lalo Schifrin	Mission Impossible	0	1967	Theme music
6ebAssCr990	Monty Norman, John Barry & Orchestra	James Bond	0	1962	Theme music
sOnqjkJTMaA	Michael Jackson	Thriller	280	1983	Disco, funk
